# prompt: Write out a sequence of 16 random integers between 1 and 100 inclusive. Separate the integers by a space ' ' character. DO NOT output anything else.

# steps: 16

# rollouts: 32

# min_int: 1

# max_int: 100

# per_step_probs
step value prob
1 1 2.628973386421978e-10
2 1 1.102483697724996e-10
3 1 7.202259940259283e-11
4 1 1.547064665365169e-12
5 1 7.150052596400702e-12
6 1 7.90790354920697e-13
7 1 6.184980541576896e-12
8 1 8.557459319340433e-13
9 1 9.230878162519981e-12
10 1 2.267658825665537e-13
11 1 8.982774612542777e-12
12 1 8.113301886618481e-13
13 1 7.338255019637794e-12
14 1 2.694078701882145e-11
15 1 2.006196519785213e-11
16 1 4.100710837212994e-13
1 2 4.716142429037877e-11
2 2 1.962779715705774e-11
3 2 1.272950494617337e-11
4 2 2.693167214401799e-13
5 2 1.258850746650727e-12
6 2 1.507765845282247e-13
7 2 1.001957700226504e-12
8 2 1.360970200352815e-13
9 2 1.411150328630256e-12
10 2 3.313854709296273e-14
11 2 1.34035640741699e-12
12 2 1.63288754476453e-13
13 2 1.068494885844138e-12
14 2 3.919318797648674e-12
15 2 2.754703011851512e-12
16 2 6.852489887495998e-14
1 3 3.520920391907857e-11
2 3 1.472743092908826e-11
3 3 9.520643452995137e-12
4 3 2.030491777079562e-13
5 3 9.641129133389749e-13
6 3 1.16100813122202e-13
7 3 7.935728305168043e-13
8 3 1.094952088635221e-13
9 3 1.161346445527677e-12
10 3 2.761774171175266e-14
11 3 1.118650400306089e-12
12 3 1.279482465019106e-13
13 3 9.199869844972735e-13
14 3 3.334327437354568e-12
15 3 2.455274505917122e-12
16 3 5.859774242065192e-14
1 4 2.58119339799827e-11
2 4 1.105270517624703e-11
3 4 7.022352738360439e-12
4 4 1.53540903839033e-13
5 4 7.217356254316413e-13
6 4 8.621369098737714e-14
7 4 5.727950834183535e-13
8 4 7.752756811113698e-14
9 4 8.130107079139752e-13
10 4 1.932043382208835e-14
11 4 7.814001748537338e-13
12 4 9.683949416306671e-14
13 4 6.370726751296644e-13
14 4 2.200985434897674e-12
15 4 1.625737918455145e-12
16 4 4.13151285010444e-14
1 5 4.020219753342373e-11
2 5 1.721837013892788e-11
3 5 1.118603105155344e-11
4 5 2.389932312134724e-13
5 5 1.12672556987589e-12
6 5 1.334221652384452e-13
7 5 9.021419446308606e-13
8 5 1.206349521393911e-13
9 5 1.282814164150949e-12
10 5 3.032569890946387e-14
11 5 1.247664011247297e-12
12 5 1.435590533057175e-13
13 5 1.030719095592435e-12
14 5 3.557718158704276e-12
15 5 2.593823214212692e-12
16 5 6.351257176600345e-14
1 6 1.811405357487367e-11
2 6 7.638765663293803e-12
3 6 4.992658011151555e-12
4 6 1.072399223262848e-13
5 6 5.141586493839813e-13
6 6 6.480417078567789e-14
7 6 3.876545929867161e-13
8 6 5.128911858924198e-14
9 6 5.377646481704341e-13
10 6 1.236785923218687e-14
11 6 5.083980304925497e-13
12 6 7.473215703248574e-14
13 6 4.163600589520824e-13
14 6 1.494102371345441e-12
15 6 9.742510154532971e-13
16 6 2.899111306977694e-14
1 7 1.525635569426386e-11
2 7 6.50324885809563e-12
3 7 4.300082638517901e-12
4 7 9.167948197196904e-14
5 7 4.491759052575641e-13
6 7 5.743334226141526e-14
7 7 3.38700706394879e-13
8 7 4.562610558615639e-14
9 7 4.742277637574672e-13
10 7 1.123757249334028e-14
11 7 4.678870708347801e-13
12 7 6.665650362116514e-14
13 7 3.856457681206382e-13
14 7 1.390773808827204e-12
15 7 8.967672883415439e-13
16 7 2.621241262162873e-14
1 8 9.697788656358065e-12
