# prompt: Write out a sequence of 8 random integers between 1 and 100 inclusive. Separate the integers by a space ' ' character. DO NOT output anything else.

# steps: 8

# rollouts: 32

# min_int: 1

# max_int: 100

# per_step_probs
step value prob
1 1 2.954002511495961e-10
2 1 2.241076476176298e-10
3 1 1.673356229216306e-10
4 1 1.157049620396181e-11
5 1 6.690562397105502e-11
6 1 1.410351061409297e-11
7 1 2.096089674181247e-11
8 1 1.709143530513609e-12
1 2 5.422027738221413e-11
2 2 4.007810775353263e-11
3 2 2.974370608755942e-11
4 2 1.981611805317489e-12
5 2 1.073266810572856e-11
6 2 2.162549432536579e-12
7 2 3.244819493523884e-12
8 2 2.584151745135653e-13
1 3 4.034538270208026e-11
2 3 2.996785437290367e-11
3 3 2.243664696936119e-11
4 3 1.545245442834299e-12
5 3 8.370011242002029e-12
6 3 1.662887325850693e-12
7 3 2.567892776633083e-12
8 3 2.081078045404625e-13
1 4 2.916457939575018e-11
2 4 2.247319870211099e-11
3 4 1.672542928531191e-11
4 4 1.134590303412937e-12
5 4 6.261299571651919e-12
6 4 1.246580960860324e-12
7 4 1.832374239873013e-12
8 4 1.475589923289505e-13
1 5 4.44225207319791e-11
2 5 3.484296544013185e-11
3 5 2.586886072894442e-11
4 5 1.739914767252915e-12
5 5 9.911309573368084e-12
6 5 1.994156661185409e-12
7 5 2.885256059591052e-12
8 5 2.312130868684029e-13
1 6 2.066359248437573e-11
2 6 1.561171287782101e-11
3 6 1.176567802002593e-11
4 6 7.925976025169495e-13
5 6 4.307473825899266e-12
6 6 8.246569807708443e-13
7 6 1.225789958927919e-12
8 6 9.689460071014899e-14
1 7 1.747309163328274e-11
2 7 1.344303043265611e-11
3 7 1.002271893496291e-11
4 7 6.918196716245276e-13
5 7 3.78632156215469e-12
6 7 7.323320567186104e-13
7 7 1.084809735645366e-12
8 7 8.700973358704054e-14
1 8 1.128052912576287e-11
2 8 8.651356533095025e-12
3 8 6.456171963877129e-12
4 8 4.450146363187093e-13
5 8 2.501387073155853e-12
6 8 4.836808155702571e-13
7 8 7.044660987492152e-13
8 8 5.634731552097393e-14
1 9 1.193223842545822e-11
2 9 9.127667409166421e-12
3 9 7.11048274486519e-12
4 9 4.734562522592984e-13
5 9 2.658457136661662e-12
6 9 5.09477242485309e-13
7 9 7.565613398458488e-13
8 9 5.981414551418154e-14
1 10 8.236849328040816e-11
2 10 6.51477395651351e-11
3 10 5.072489061069895e-11
4 10 3.199301782131886e-12
5 10 1.869092057494485e-11
